alert_id,customer_id,trigger_rule,alert_date,analyst_decision,investigation_time_minutes
ALT_00133,CUST_0005,geographic_risk,2024-02-24,cleared,31
ALT_00134,CUST_0005,rapid_movement,2024-03-19,cleared,23
ALT_00135,CUST_0005,geographic_risk,2024-12-24,cleared,29
ALT_00136,CUST_0006,threshold,2024-01-22,escalated,32
ALT_00137,CUST_0006,threshold,2024-02-16,escalated,25
ALT_00138,CUST_0006,dormant_activation,2024-02-27,escalated,36
ALT_00139,CUST_0006,threshold,2024-03-27,SAR_filed,23
ALT_00140,CUST_0006,rapid_movement,2024-03-24,SAR_filed,18
ALT_00141,CUST_0006,dormant_activation,2024-03-27,escalated,20
ALT_00142,CUST_0006,threshold,2024-04-24,cleared,38
ALT_00143,CUST_0006,geographic_risk,2024-04-17,cleared,39
ALT_00144,CUST_0006,dormant_activation,2024-04-26,cleared,38
ALT_00145,CUST_0006,large_cash,2024-04-22,cleared,23
ALT_00146,CUST_0006,threshold,2024-05-15,cleared,31
ALT_00147,CUST_0006,geographic_risk,2024-05-17,cleared,41
ALT_00148,CUST_0006,structuring,2024-05-26,cleared,26
ALT_00149,CUST_0006,large_cash,2024-05-22,escalated,29
ALT_00150,CUST_0006,threshold,2024-06-19,cleared,27
ALT_00151,CUST_0006,geographic_risk,2024-06-24,cleared,35
ALT_00152,CUST_0006,threshold,2024-07-26,escalated,37
ALT_00153,CUST_0006,threshold,2024-08-27,cleared,43
ALT_00154,CUST_0006,dormant_activation,2024-08-21,cleared,27
ALT_00155,CUST_0006,rapid_movement,2024-08-18,escalated,44
ALT_00156,CUST_0006,geographic_risk,2024-08-27,cleared,18
ALT_00157,CUST_0006,threshold,2024-09-20,cleared,22
ALT_00158,CUST_0006,rapid_movement,2024-09-27,cleared,37
ALT_00159,CUST_0006,large_cash,2024-09-24,escalated,35
ALT_00160,CUST_0006,threshold,2024-10-26,cleared,38
ALT_00161,CUST_0006,large_cash,2024-10-24,cleared,33
ALT_00162,CUST_0006,threshold,2024-11-19,cleared,39
ALT_00163,CUST_0006,geographic_risk,2024-11-23,SAR_filed,25
ALT_00164,CUST_0006,threshold,2024-12-24,cleared,16
ALT_00165,CUST_0006,rapid_movement,2024-12-22,cleared,17
ALT_00166,CUST_0006,large_cash,2024-12-17,cleared,32
ALT_00167,CUST_0006,structuring,2024-12-15,cleared,26
ALT_00168,CUST_0007,threshold,2024-01-16,escalated,39
ALT_00169,CUST_0007,threshold,2024-02-15,cleared,42
ALT_00170,CUST_0007,rapid_movement,2024-02-25,cleared,28
ALT_00171,CUST_0007,structuring,2024-02-21,cleared,16
ALT_00172,CUST_0007,threshold,2024-03-23,cleared,15
ALT_00173,CUST_0007,threshold,2024-04-17,cleared,23
ALT_00174,CUST_0007,threshold,2024-05-26,cleared,41
ALT_00175,CUST_0007,rapid_movement,2024-05-16,cleared,27
ALT_00176,CUST_0007,threshold,2024-06-27,cleared,24
ALT_00177,CUST_0007,threshold,2024-07-22,cleared,34
ALT_00178,CUST_0007,geographic_risk,2024-07-23,cleared,34
ALT_00179,CUST_0007,rapid_movement,2024-07-23,cleared,31
ALT_00180,CUST_0007,threshold,2024-08-24,escalated,38
ALT_00181,CUST_0007,threshold,2024-09-21,cleared,39
ALT_00182,CUST_0007,dormant_activation,2024-09-25,cleared,35
ALT_00183,CUST_0007,rapid_movement,2024-09-19,SAR_filed,39
ALT_00184,CUST_0007,large_cash,2024-09-27,cleared,38
ALT_00185,CUST_0007,threshold,2024-10-26,cleared,43
ALT_00186,CUST_0007,geographic_risk,2024-10-24,cleared,19
ALT_00187,CUST_0007,threshold,2024-11-15,escalated,27
ALT_00188,CUST_0007,large_cash,2024-11-15,escalated,16
ALT_00189,CUST_0007,geographic_risk,2024-11-24,cleared,32
ALT_00190,CUST_0007,dormant_activation,2024-11-23,cleared,25
ALT_00191,CUST_0007,threshold,2024-12-22,cleared,41
ALT_00192,CUST_0008,rapid_movement,2024-01-22,escalated,25
ALT_00193,CUST_0008,structuring,2024-01-23,cleared,36
ALT_00194,CUST_0008,large_cash,2024-01-26,cleared,31
ALT_00195,CUST_0008,dormant_activation,2024-01-15,cleared,31
ALT_00196,CUST_0008,rapid_movement,2024-02-19,cleared,30
ALT_00197,CUST_0008,rapid_movement,2024-03-22,escalated,32
ALT_00198,CUST_0008,rapid_movement,2024-04-15,cleared,31
ALT_00199,CUST_0008,rapid_movement,2024-05-25,escalated,23
ALT_00200,CUST_0008,geographic_risk,2024-05-18,cleared,32
ALT_00201,CUST_0008,rapid_movement,2024-06-25,cleared,36
ALT_00202,CUST_0008,rapid_movement,2024-07-16,cleared,18
ALT_00203,CUST_0008,dormant_activation,2024-07-17,SAR_filed,23
ALT_00204,CUST_0008,large_cash,2024-07-20,cleared,20
ALT_00205,CUST_0008,structuring,2024-07-26,cleared,23
ALT_00206,CUST_0008,rapid_movement,2024-08-27,cleared,27
ALT_00207,CUST_0008,rapid_movement,2024-09-23,SAR_filed,43
ALT_00208,CUST_0008,rapid_movement,2024-10-21,escalated,43
ALT_00209,CUST_0008,geographic_risk,2024-10-23,escalated,24
ALT_00210,CUST_0008,rapid_movement,2024-11-24,SAR_filed,15
ALT_00211,CUST_0008,rapid_movement,2024-12-18,escalated,40
ALT_00212,CUST_0008,large_cash,2024-12-23,cleared,30
ALT_00213,CUST_0008,structuring,2024-12-26,cleared,33
ALT_00214,CUST_0009,structuring,2024-01-21,SAR_filed,37
ALT_00215,CUST_0009,rapid_movement,2024-02-16,escalated,36
ALT_00216,CUST_0009,rapid_movement,2024-07-15,cleared,19
ALT_00217,CUST_0009,rapid_movement,2024-09-16,cleared,19
ALT_00218,CUST_0010,large_cash,2024-01-20,cleared,29
ALT_00219,CUST_0010,structuring,2024-08-26,cleared,16
ALT_00220,CUST_0011,threshold,2024-01-16,cleared,22
ALT_00221,CUST_0011,rapid_movement,2024-01-16,escalated,19
ALT_00222,CUST_0011,threshold,2024-02-23,cleared,26
ALT_00223,CUST_0011,rapid_movement,2024-02-18,escalated,18
ALT_00224,CUST_0011,threshold,2024-03-23,cleared,29
ALT_00225,CUST_0011,rapid_movement,2024-03-18,SAR_filed,40
ALT_00226,CUST_0011,large_cash,2024-03-23,cleared,19
ALT_00227,CUST_0011,threshold,2024-04-17,SAR_filed,33
ALT_00228,CUST_0011,rapid_movement,2024-04-16,cleared,33
ALT_00229,CUST_0011,threshold,2024-05-21,SAR_filed,26
ALT_00230,CUST_0011,rapid_movement,2024-05-19,cleared,30
ALT_00231,CUST_0011,threshold,2024-06-15,escalated,40
ALT_00232,CUST_0011,rapid_movement,2024-06-24,escalated,34
ALT_00233,CUST_0011,large_cash,2024-06-16,cleared,24
ALT_00234,CUST_0011,structuring,2024-06-20,cleared,21
ALT_00235,CUST_0011,threshold,2024-07-21,cleared,15
ALT_00236,CUST_0011,rapid_movement,2024-07-16,SAR_filed,39
ALT_00237,CUST_0011,threshold,2024-08-15,cleared,21
ALT_00238,CUST_0011,rapid_movement,2024-08-22,cleared,43
ALT_00239,CUST_0011,geographic_risk,2024-08-16,SAR_filed,40
ALT_00240,CUST_0011,threshold,2024-09-23,cleared,28
ALT_00241,CUST_0011,rapid_movement,2024-09-23,SAR_filed,41
ALT_00242,CUST_0011,large_cash,2024-09-22,SAR_filed,28
ALT_00243,CUST_0011,geographic_risk,2024-09-18,SAR_filed,38
ALT_00244,CUST_0011,structuring,2024-09-24,cleared,42
ALT_00245,CUST_0011,threshold,2024-10-26,escalated,40
ALT_00246,CUST_0011,rapid_movement,2024-10-22,cleared,17
ALT_00247,CUST_0011,threshold,2024-11-24,cleared,38
ALT_00248,CUST_0011,rapid_movement,2024-11-26,cleared,41
ALT_00249,CUST_0011,geographic_risk,2024-11-22,SAR_filed,38
ALT_00250,CUST_0011,threshold,2024-12-18,cleared,17
ALT_00251,CUST_0011,rapid_movement,2024-12-18,escalated,25
ALT_00252,CUST_0012,threshold,2024-01-20,cleared,39
ALT_00253,CUST_0012,dormant_activation,2024-01-16,cleared,21
ALT_00254,CUST_0012,threshold,2024-02-17,cleared,31
ALT_00255,CUST_0012,rapid_movement,2024-02-25,cleared,41
ALT_00256,CUST_0012,structuring,2024-02-15,escalated,30
ALT_00257,CUST_0012,dormant_activation,2024-02-27,cleared,17
ALT_00258,CUST_0012,threshold,2024-03-18,escalated,42
ALT_00259,CUST_0012,dormant_activation,2024-03-17,SAR_filed,34
ALT_00260,CUST_0012,threshold,2024-05-15,cleared,30
ALT_00261,CUST_0012,threshold,2024-06-21,SAR_filed,39
ALT_00262,CUST_0012,threshold,2024-07-20,cleared,15
ALT_00263,CUST_0012,threshold,2024-08-27,cleared,32
ALT_00264,CUST_0012,large_cash,2024-08-21,cleared,36
ALT_00265,CUST_0012,geographic_risk,2024-08-23,cleared,26
ALT_00266,CUST_0012,threshold,2024-10-25,cleared,30
ALT_00267,CUST_0012,threshold,2024-12-18,escalated,38
ALT_00268,CUST_0012,large_cash,2024-12-18,cleared,36
ALT_00269,CUST_0013,threshold,2024-01-19,cleared,23
ALT_00270,CUST_0013,geographic_risk,2024-01-25,SAR_filed,36
ALT_00271,CUST_0013,threshold,2024-02-18,cleared,30
ALT_00272,CUST_0013,geographic_risk,2024-02-15,SAR_filed,43
ALT_00273,CUST_0013,threshold,2024-03-15,cleared,30
ALT_00274,CUST_0013,large_cash,2024-03-24,cleared,36
ALT_00275,CUST_0013,rapid_movement,2024-03-21,cleared,40
ALT_00276,CUST_0013,structuring,2024-03-15,cleared,41
ALT_00277,CUST_0013,threshold,2024-04-23,cleared,34
ALT_00278,CUST_0013,threshold,2024-05-23,cleared,33
ALT_00279,CUST_0013,dormant_activation,2024-05-22,SAR_filed,42
ALT_00280,CUST_0013,rapid_movement,2024-05-19,cleared,30
ALT_00281,CUST_0013,large_cash,2024-05-15,escalated,33
ALT_00282,CUST_0013,threshold,2024-06-19,SAR_filed,24
ALT_00283,CUST_0013,threshold,2024-08-24,cleared,36
ALT_00284,CUST_0013,geographic_risk,2024-08-21,cleared,27
ALT_00285,CUST_0013,large_cash,2024-08-22,cleared,23
ALT_00286,CUST_0013,structuring,2024-08-22,escalated,19
ALT_00287,CUST_0013,threshold,2024-09-24,escalated,37
ALT_00288,CUST_0013,geographic_risk,2024-09-19,escalated,25
ALT_00289,CUST_0013,threshold,2024-10-24,SAR_filed,40
ALT_00290,CUST_0013,threshold,2024-11-26,cleared,36
ALT_00291,CUST_0013,geographic_risk,2024-11-27,escalated,17
ALT_00292,CUST_0014,threshold,2024-02-26,cleared,28
ALT_00293,CUST_0014,structuring,2024-05-18,escalated,39
ALT_00294,CUST_0014,structuring,2024-10-25,cleared,32
ALT_00295,CUST_0014,rapid_movement,2024-12-21,cleared,24
ALT_00296,CUST_0015,threshold,2024-01-25,SAR_filed,16
ALT_00297,CUST_0015,rapid_movement,2024-01-23,cleared,20
ALT_00298,CUST_0015,dormant_activation,2024-01-23,escalated,44
ALT_00299,CUST_0015,large_cash,2024-01-23,cleared,19
ALT_00300,CUST_0015,geographic_risk,2024-01-23,cleared,20
ALT_00301,CUST_0015,threshold,2024-03-23,cleared,36
ALT_00302,CUST_0015,rapid_movement,2024-03-18,cleared,33
ALT_00303,CUST_0015,threshold,2024-04-18,escalated,43
ALT_00304,CUST_0015,rapid_movement,2024-04-21,escalated,27
ALT_00305,CUST_0015,threshold,2024-05-16,cleared,15
ALT_00306,CUST_0015,rapid_movement,2024-05-24,cleared,16
ALT_00307,CUST_0015,geographic_risk,2024-05-21,escalated,38
ALT_00308,CUST_0015,structuring,2024-05-23,escalated,20
ALT_00309,CUST_0015,large_cash,2024-05-24,SAR_filed,31
ALT_00310,CUST_0015,threshold,2024-06-15,SAR_filed,28
ALT_00311,CUST_0015,rapid_movement,2024-06-19,SAR_filed,35
ALT_00312,CUST_0015,dormant_activation,2024-06-20,escalated,24
ALT_00313,CUST_0015,threshold,2024-07-16,escalated,34
ALT_00314,CUST_0015,rapid_movement,2024-07-15,cleared,32
ALT_00315,CUST_0015,threshold,2024-08-26,cleared,31
ALT_00316,CUST_0015,rapid_movement,2024-08-19,SAR_filed,37
ALT_00317,CUST_0015,threshold,2024-09-21,cleared,26
ALT_00318,CUST_0015,rapid_movement,2024-09-18,cleared,31
ALT_00319,CUST_0015,dormant_activation,2024-09-18,cleared,22
ALT_00320,CUST_0015,structuring,2024-09-27,escalated,35
ALT_00321,CUST_0015,large_cash,2024-09-19,cleared,27
ALT_00322,CUST_0015,threshold,2024-10-26,SAR_filed,22
ALT_00323,CUST_0015,rapid_movement,2024-10-25,cleared,35
ALT_00324,CUST_0015,geographic_risk,2024-10-18,cleared,43
ALT_00325,CUST_0015,dormant_activation,2024-10-18,escalated,40
ALT_00326,CUST_0015,threshold,2024-11-24,cleared,30
ALT_00327,CUST_0015,rapid_movement,2024-11-25,cleared,28
ALT_00328,CUST_0015,dormant_activation,2024-11-25,escalated,26
ALT_00329,CUST_0015,threshold,2024-12-23,cleared,41
ALT_00330,CUST_0015,rapid_movement,2024-12-23,cleared,41
ALT_00331,CUST_0016,rapid_movement,2024-05-18,cleared,41
ALT_00332,CUST_0016,large_cash,2024-06-18,escalated,40
ALT_00333,CUST_0016,geographic_risk,2024-08-21,cleared,20
ALT_00334,CUST_0016,structuring,2024-09-18,cleared,41
ALT_00335,CUST_0016,rapid_movement,2024-11-19,cleared,37
ALT_00336,CUST_0016,threshold,2024-12-17,SAR_filed,28
ALT_00337,CUST_0017,geographic_risk,2024-03-26,escalated,29
ALT_00338,CUST_0017,rapid_movement,2024-04-19,cleared,33
ALT_00339,CUST_0017,rapid_movement,2024-11-19,cleared,35
ALT_00340,CUST_0018,threshold,2024-01-16,escalated,29
ALT_00341,CUST_0018,geographic_risk,2024-01-15,escalated,33
ALT_00342,CUST_0018,dormant_activation,2024-01-27,cleared,29
ALT_00343,CUST_0018,large_cash,2024-01-24,cleared,19
ALT_00344,CUST_0018,threshold,2024-02-21,escalated,29
ALT_00345,CUST_0018,rapid_movement,2024-02-20,cleared,35
ALT_00346,CUST_0018,geographic_risk,2024-02-22,escalated,31
ALT_00347,CUST_0018,threshold,2024-03-16,cleared,43
ALT_00348,CUST_0018,dormant_activation,2024-03-22,cleared,37
ALT_00349,CUST_0018,threshold,2024-04-23,cleared,29
ALT_00350,CUST_0018,threshold,2024-05-23,escalated,21
ALT_00351,CUST_0018,large_cash,2024-05-25,cleared,32
ALT_00352,CUST_0018,threshold,2024-06-18,escalated,43
ALT_00353,CUST_0018,dormant_activation,2024-06-17,cleared,35
ALT_00354,CUST_0018,threshold,2024-07-17,SAR_filed,32
ALT_00355,CUST_0018,threshold,2024-08-23,SAR_filed,16
ALT_00356,CUST_0018,threshold,2024-09-19,escalated,39
ALT_00357,CUST_0018,threshold,2024-10-21,SAR_filed,28
ALT_00358,CUST_0018,threshold,2024-11-15,escalated,28
ALT_00359,CUST_0018,large_cash,2024-11-19,cleared,37
ALT_00360,CUST_0018,threshold,2024-12-17,cleared,39
ALT_00361,CUST_0018,rapid_movement,2024-12-26,SAR_filed,26
ALT_00362,CUST_0018,geographic_risk,2024-12-26,escalated,27
ALT_00363,CUST_0019,threshold,2024-02-15,SAR_filed,27
ALT_00364,CUST_0019,rapid_movement,2024-02-26,cleared,41
ALT_00365,CUST_0019,large_cash,2024-02-18,escalated,37
ALT_00366,CUST_0019,structuring,2024-02-20,cleared,30
ALT_00367,CUST_0019,structuring,2024-03-21,SAR_filed,23
ALT_00368,CUST_0019,threshold,2024-04-19,escalated,19
ALT_00369,CUST_0019,geographic_risk,2024-04-21,cleared,26
ALT_00370,CUST_0019,threshold,2024-05-24,cleared,16
ALT_00371,CUST_0019,geographic_risk,2024-05-20,SAR_filed,18
ALT_00372,CUST_0019,threshold,2024-06-22,SAR_filed,41
ALT_00373,CUST_0019,rapid_movement,2024-06-18,escalated,23
ALT_00374,CUST_0019,large_cash,2024-06-15,cleared,43
ALT_00375,CUST_0019,geographic_risk,2024-07-24,cleared,34
ALT_00376,CUST_0019,dormant_activation,2024-07-15,escalated,42
ALT_00377,CUST_0019,large_cash,2024-07-21,SAR_filed,18
ALT_00378,CUST_0019,rapid_movement,2024-07-19,cleared,29
ALT_00379,CUST_0019,threshold,2024-08-18,cleared,21
ALT_00380,CUST_0019,dormant_activation,2024-08-17,cleared,37
ALT_00381,CUST_0019,structuring,2024-08-18,cleared,44
ALT_00382,CUST_0019,threshold,2024-09-22,cleared,23
ALT_00383,CUST_0019,rapid_movement,2024-09-24,SAR_filed,17
ALT_00384,CUST_0019,large_cash,2024-09-25,escalated,16
ALT_00385,CUST_0019,dormant_activation,2024-09-19,SAR_filed,42
ALT_00386,CUST_0019,threshold,2024-10-27,cleared,44
ALT_00387,CUST_0019,structuring,2024-10-19,SAR_filed,28
ALT_00388,CUST_0019,threshold,2024-11-25,cleared,21
ALT_00389,CUST_0019,geographic_risk,2024-11-26,SAR_filed,22
ALT_00390,CUST_0019,structuring,2024-12-19,cleared,18
ALT_00391,CUST_0020,threshold,2024-01-21,cleared,19
ALT_00392,CUST_0020,large_cash,2024-01-19,cleared,37
ALT_00393,CUST_0020,threshold,2024-02-27,cleared,23
ALT_00394,CUST_0020,threshold,2024-03-20,SAR_filed,21
ALT_00395,CUST_0020,large_cash,2024-03-20,cleared,19
ALT_00396,CUST_0020,threshold,2024-04-20,cleared,37
ALT_00397,CUST_0020,threshold,2024-05-16,SAR_filed,39
ALT_00398,CUST_0020,threshold,2024-06-20,cleared,28
ALT_00399,CUST_0020,large_cash,2024-06-15,cleared,24
ALT_00400,CUST_0020,structuring,2024-06-26,cleared,17
ALT_00401,CUST_0020,dormant_activation,2024-06-27,cleared,23
ALT_00402,CUST_0020,threshold,2024-07-18,cleared,21
ALT_00403,CUST_0020,rapid_movement,2024-07-19,cleared,37
ALT_00404,CUST_0020,dormant_activation,2024-07-20,SAR_filed,22
ALT_00405,CUST_0020,threshold,2024-08-19,SAR_filed,33
ALT_00406,CUST_0020,large_cash,2024-08-23,escalated,36
ALT_00407,CUST_0020,structuring,2024-08-27,cleared,25
ALT_00408,CUST_0020,threshold,2024-09-24,escalated,38
ALT_00409,CUST_0020,threshold,2024-10-19,cleared,37
ALT_00410,CUST_0020,threshold,2024-11-21,cleared,44
ALT_00411,CUST_0020,threshold,2024-12-27,escalated,16
ALT_00412,CUST_0020,geographic_risk,2024-12-17,SAR_filed,40
ALT_00413,CUST_0020,rapid_movement,2024-12-25,escalated,41
ALT_00414,CUST_0021,structuring,2024-02-25,cleared,17
ALT_00415,CUST_0021,large_cash,2024-03-16,escalated,29
ALT_00416,CUST_0021,rapid_movement,2024-05-24,cleared,26
ALT_00417,CUST_0021,large_cash,2024-06-22,cleared,37
ALT_00418,CUST_0021,rapid_movement,2024-09-23,escalated,31
ALT_00419,CUST_0021,structuring,2024-11-15,cleared,26
ALT_00420,CUST_0022,threshold,2024-07-18,SAR_filed,30
ALT_00421,CUST_0022,large_cash,2024-10-17,escalated,32
